model,temperature,loop_index,start_time_clock,end_time_clock,latency_seconds,validation_status,error_type,raw_response
llama3.2,0.0,1,01:48:49,01:48:54,5.297945737838745,PASS,,"{
  ""profiles"": [
    {""user_id"": 1, ""username"": ""alpha99"", ""email"": ""test1@domain.com"", ""account_active"": true, ""score"": 88.5},
    {""user_id"": 2, ""username"": ""beta22"", ""email"": ""test2@domain.com"", ""account_active"": false, ""score"": 42.1},
    {""user_id"": 3, ""username"": ""gamma33"", ""email"": ""test3@domain.com"", ""account_active"": true, ""score"": 91.7}
  ]
}"
llama3.2,0.0,2,01:48:54,01:48:57,2.960555076599121,PASS,,"{
  ""profiles"": [
    {""user_id"": 1, ""username"": ""alpha99"", ""email"": ""test1@domain.com"", ""account_active"": true, ""score"": 88.5},
    {""user_id"": 2, ""username"": ""beta22"", ""email"": ""test2@domain.com"", ""account_active"": false, ""score"": 42.1},
    {""user_id"": 3, ""username"": ""gamma33"", ""email"": ""test3@domain.com"", ""account_active"": true, ""score"": 91.7}
  ]
}"
llama3.2,0.0,3,01:48:57,01:49:00,2.899618148803711,PASS,,"{
  ""profiles"": [
    {""user_id"": 1, ""username"": ""alpha99"", ""email"": ""test1@domain.com"", ""account_active"": true, ""score"": 88.5},
    {""user_id"": 2, ""username"": ""beta22"", ""email"": ""test2@domain.com"", ""account_active"": false, ""score"": 42.1},
    {""user_id"": 3, ""username"": ""gamma33"", ""email"": ""test3@domain.com"", ""account_active"": true, ""score"": 91.7}
  ]
}"
llama3.2,0.0,4,01:49:00,01:49:03,2.920414924621582,PASS,,"{
  ""profiles"": [
    {""user_id"": 1, ""username"": ""alpha99"", ""email"": ""test1@domain.com"", ""account_active"": true, ""score"": 88.5},
    {""user_id"": 2, ""username"": ""beta22"", ""email"": ""test2@domain.com"", ""account_active"": false, ""score"": 42.1},
    {""user_id"": 3, ""username"": ""gamma33"", ""email"": ""test3@domain.com"", ""account_active"": true, ""score"": 91.7}
  ]
}"
llama3.2,0.0,5,01:49:03,01:49:06,2.9937832355499268,PASS,,"{
  ""profiles"": [
    {""user_id"": 1, ""username"": ""alpha99"", ""email"": ""test1@domain.com"", ""account_active"": true, ""score"": 88.5},
    {""user_id"": 2, ""username"": ""beta22"", ""email"": ""test2@domain.com"", ""account_active"": false, ""score"": 42.1},
    {""user_id"": 3, ""username"": ""gamma33"", ""email"": ""test3@domain.com"", ""account_active"": true, ""score"": 91.7}
  ]
}"
llama3.2,0.0,6,01:49:06,01:49:09,2.9703221321105957,PASS,,"{
  ""profiles"": [
    {""user_id"": 1, ""username"": ""alpha99"", ""email"": ""test1@domain.com"", ""account_active"": true, ""score"": 88.5},
    {""user_id"": 2, ""username"": ""beta22"", ""email"": ""test2@domain.com"", ""account_active"": false, ""score"": 42.1},
    {""user_id"": 3, ""username"": ""gamma33"", ""email"": ""test3@domain.com"", ""account_active"": true, ""score"": 91.7}
  ]
}"
llama3.2,0.0,7,01:49:09,01:49:12,2.986107110977173,PASS,,"{
  ""profiles"": [
    {""user_id"": 1, ""username"": ""alpha99"", ""email"": ""test1@domain.com"", ""account_active"": true, ""score"": 88.5},
    {""user_id"": 2, ""username"": ""beta22"", ""email"": ""test2@domain.com"", ""account_active"": false, ""score"": 42.1},
    {""user_id"": 3, ""username"": ""gamma33"", ""email"": ""test3@domain.com"", ""account_active"": true, ""score"": 91.7}
  ]
}"
llama3.2,0.0,8,01:49:12,01:49:15,2.948328971862793,PASS,,"{
  ""profiles"": [
    {""user_id"": 1, ""username"": ""alpha99"", ""email"": ""test1@domain.com"", ""account_active"": true, ""score"": 88.5},
    {""user_id"": 2, ""username"": ""beta22"", ""email"": ""test2@domain.com"", ""account_active"": false, ""score"": 42.1},
    {""user_id"": 3, ""username"": ""gamma33"", ""email"": ""test3@domain.com"", ""account_active"": true, ""score"": 91.7}
  ]
}"
llama3.2,0.0,9,01:49:15,01:49:18,2.954087257385254,PASS,,"{
  ""profiles"": [
    {""user_id"": 1, ""username"": ""alpha99"", ""email"": ""test1@domain.com"", ""account_active"": true, ""score"": 88.5},
    {""user_id"": 2, ""username"": ""beta22"", ""email"": ""test2@domain.com"", ""account_active"": false, ""score"": 42.1},
    {""user_id"": 3, ""username"": ""gamma33"", ""email"": ""test3@domain.com"", ""account_active"": true, ""score"": 91.7}
  ]
}"
llama3.2,0.0,10,01:49:18,01:49:21,3.0824880599975586,PASS,,"{
  ""profiles"": [
    {""user_id"": 1, ""username"": ""alpha99"", ""email"": ""test1@domain.com"", ""account_active"": true, ""score"": 88.5},
    {""user_id"": 2, ""username"": ""beta22"", ""email"": ""test2@domain.com"", ""account_active"": false, ""score"": 42.1},
    {""user_id"": 3, ""username"": ""gamma33"", ""email"": ""test3@domain.com"", ""account_active"": true, ""score"": 91.7}
  ]
}"
